,Sampling Time,Direction
0,2024-02-25 15:57:20,Left
1,2024-02-25 15:57:20,Left
2,2024-02-25 15:57:20,Left
3,2024-02-25 15:57:21,Left
4,2024-02-25 15:57:21,Left
5,2024-02-25 15:57:21,Right
6,2024-02-25 15:58:20,Left
7,2024-02-25 15:58:20,Right
8,2024-02-25 15:58:20,Right
9,2024-02-25 15:58:21,Down
10,2024-02-25 15:58:21,Down
11,2024-02-25 15:58:21,Left
12,2024-02-25 15:59:20,Left
13,2024-02-25 15:59:20,Left
14,2024-02-25 15:59:20,Left
15,2024-02-25 15:59:21,Left
16,2024-02-25 15:59:21,Left
17,2024-02-25 15:59:21,Straight
18,2024-02-25 15:59:22,Left
19,2024-02-25 15:59:22,Left
20,2024-02-25 15:59:22,Left
21,2024-02-25 15:59:23,Left
22,2024-02-25 15:59:23,Left
23,2024-02-25 15:59:23,Left
24,2024-02-25 15:59:24,Left
25,2024-02-25 15:59:24,Straight
26,2024-02-25 15:59:24,Left
27,2024-02-25 15:59:25,Straight
28,2024-02-25 15:59:25,Left
29,2024-02-25 15:59:25,Left
30,2024-02-25 15:59:26,Left
31,2024-02-25 15:59:26,Straight
32,2024-02-25 15:59:26,Left
33,2024-02-25 15:59:27,Left
34,2024-02-25 15:59:27,Left
35,2024-02-25 15:59:27,Straight
36,2024-02-25 15:59:28,Straight
37,2024-02-25 15:59:28,Left
38,2024-02-25 15:59:28,Left
39,2024-02-25 15:59:29,Left
40,2024-02-25 15:59:29,Left
41,2024-02-25 15:59:29,Left
42,2024-02-25 15:59:30,Left
43,2024-02-25 15:59:30,Left
44,2024-02-25 15:59:30,Straight
45,2024-02-25 15:59:31,Straight
46,2024-02-25 15:59:31,Straight
47,2024-02-25 15:59:31,Straight
48,2024-02-25 15:59:32,Straight
49,2024-02-25 15:59:32,Straight
50,2024-02-25 15:59:32,Straight
51,2024-02-25 15:59:33,Straight
52,2024-02-25 15:59:33,Left
53,2024-02-25 15:59:33,Left
54,2024-02-25 15:59:34,Left
55,2024-02-25 15:59:34,Left
56,2024-02-25 15:59:34,Left
57,2024-02-25 15:59:35,Left
58,2024-02-25 15:59:35,Left
59,2024-02-25 15:59:35,Left
60,2024-02-25 15:59:36,Left
61,2024-02-25 15:59:36,Left
62,2024-02-25 15:59:36,Left
63,2024-02-25 15:59:37,Left
64,2024-02-25 15:59:37,Left
65,2024-02-25 15:59:37,Left
66,2024-02-25 15:59:38,Left
67,2024-02-25 15:59:38,Straight
68,2024-02-25 15:59:38,Straight
69,2024-02-25 15:59:39,Straight
70,2024-02-25 15:59:39,Straight
71,2024-02-25 15:59:39,Straight
72,2024-02-25 15:59:40,Straight
73,2024-02-25 15:59:40,Left
74,2024-02-25 15:59:40,Left
75,2024-02-25 15:59:41,Straight
76,2024-02-25 16:00:20,Left
77,2024-02-25 16:00:20,Left
78,2024-02-25 16:00:20,Left
79,2024-02-25 16:00:21,Left
80,2024-02-25 16:00:21,Left
