,Mouth
2024-02-25 18:20:07,Talking
2024-02-25 18:20:10,Closed
2024-02-25 18:20:13,Talking
2024-02-25 18:20:16,Talking
2024-02-25 18:20:19,Closed
2024-02-25 18:20:22,Closed
2024-02-25 18:20:25,Talking
2024-02-25 18:20:28,Talking
2024-02-25 18:20:31,Talking
2024-02-25 18:20:34,Talking
2024-02-25 18:20:37,Talking
2024-02-25 18:20:40,Talking
2024-02-25 18:20:43,Talking
2024-02-25 18:20:46,Talking
2024-02-25 18:20:49,Talking
2024-02-25 18:20:52,Talking
2024-02-25 18:20:55,Talking
2024-02-25 18:20:58,Talking
2024-02-25 18:21:01,Talking
2024-02-25 18:21:04,Closed
2024-02-25 18:21:07,Closed
2024-02-25 18:21:10,Talking
2024-02-25 18:21:13,Closed
2024-02-25 18:21:16,Closed
2024-02-25 18:21:19,Talking
2024-02-25 18:21:22,Talking
2024-02-25 18:21:25,Talking
2024-02-25 18:21:28,Talking
2024-02-25 18:21:31,Closed
2024-02-25 18:21:34,Closed
2024-02-25 18:21:37,Closed
2024-02-25 18:21:40,Closed
2024-02-25 18:21:43,Closed
2024-02-25 18:21:46,Talking
2024-02-25 18:21:49,Closed
2024-02-25 18:21:52,Talking
2024-02-25 18:21:55,Talking
2024-02-25 18:21:58,Talking
2024-02-25 18:22:01,Talking
2024-02-25 18:22:04,Closed
2024-02-25 18:22:07,Talking
2024-02-25 18:22:10,Closed
2024-02-25 18:22:13,Closed
2024-02-25 18:22:16,Talking
2024-02-25 18:22:19,Talking
2024-02-25 18:22:22,Talking
2024-02-25 18:22:25,Talking
2024-02-25 18:22:28,Talking
2024-02-25 18:22:31,Closed
2024-02-25 18:22:34,Talking
2024-02-25 18:22:37,Closed
2024-02-25 18:22:40,Talking
2024-02-25 18:22:43,Talking
2024-02-25 18:22:46,Talking
2024-02-25 18:22:49,Talking
2024-02-25 18:22:52,Talking
2024-02-25 18:22:55,Closed
2024-02-25 18:22:58,Talking
2024-02-25 18:23:01,Talking
2024-02-25 18:23:04,Talking
2024-02-25 18:23:07,Closed
2024-02-25 18:23:10,Closed
2024-02-25 18:23:13,Closed
2024-02-25 18:23:16,Talking
2024-02-25 18:23:19,Closed
2024-02-25 18:23:22,Closed
2024-02-25 18:23:25,Closed
2024-02-25 18:23:28,Closed
2024-02-25 18:23:31,Closed
2024-02-25 18:23:34,Closed
2024-02-25 18:23:37,Closed
2024-02-25 18:23:40,Closed
2024-02-25 18:23:43,Closed
2024-02-25 18:23:46,Closed
2024-02-25 18:23:49,Closed
2024-02-25 18:23:52,Talking
2024-02-25 18:23:55,Talking
2024-02-25 18:23:58,Talking
2024-02-25 18:24:01,Closed
2024-02-25 18:24:04,Closed
2024-02-25 18:24:07,Closed
2024-02-25 18:24:10,Talking
2024-02-25 18:24:13,Talking
2024-02-25 18:24:16,Talking
2024-02-25 18:24:19,Talking
2024-02-25 18:24:22,Closed
2024-02-25 18:24:25,Closed
2024-02-25 18:24:28,Closed
2024-02-25 18:24:31,Closed
2024-02-25 18:24:34,Closed
2024-02-25 18:24:37,Closed
2024-02-25 18:24:40,Talking
2024-02-25 18:24:43,Talking
2024-02-25 18:24:46,Talking
2024-02-25 18:24:49,Talking
2024-02-25 18:24:52,Closed
2024-02-25 18:24:55,Closed
2024-02-25 18:24:58,Closed
2024-02-25 18:25:01,Closed
