,Mouth
2024-02-25 19:58:35,Talking
2024-02-25 19:58:38,Talking
2024-02-25 19:58:41,Talking
2024-02-25 19:58:44,Talking
2024-02-25 19:58:47,Talking
2024-02-25 19:58:50,Talking
2024-02-25 19:58:53,Talking
2024-02-25 19:58:56,Talking
2024-02-25 19:58:59,Talking
2024-02-25 19:59:02,Talking
2024-02-25 19:59:05,Talking
2024-02-25 19:59:08,Talking
2024-02-25 19:59:11,Talking
2024-02-25 19:59:14,Talking
2024-02-25 19:59:17,Talking
2024-02-25 19:59:20,Talking
2024-02-25 19:59:23,Talking
2024-02-25 19:59:26,Talking
2024-02-25 19:59:29,Talking
2024-02-25 19:59:32,Talking
2024-02-25 19:59:35,Talking
2024-02-25 19:59:38,Closed
2024-02-25 19:59:41,Talking
2024-02-25 19:59:44,Talking
2024-02-25 19:59:47,Talking
2024-02-25 19:59:50,Closed
2024-02-25 19:59:53,Talking
2024-02-25 19:59:56,Talking
2024-02-25 19:59:59,Talking
2024-02-25 20:00:02,Talking
2024-02-25 20:00:05,Closed
2024-02-25 20:00:08,Closed
2024-02-25 20:00:11,Closed
2024-02-25 20:00:14,Talking
2024-02-25 20:00:17,Talking
2024-02-25 20:00:20,Talking
2024-02-25 20:00:23,Talking
2024-02-25 20:00:26,Talking
2024-02-25 20:00:29,Talking
2024-02-25 20:00:32,Talking
2024-02-25 20:00:35,Closed
2024-02-25 20:00:38,Closed
2024-02-25 20:00:41,Closed
2024-02-25 20:00:44,Talking
2024-02-25 20:00:47,Talking
2024-02-25 20:00:50,Talking
2024-02-25 20:00:53,Talking
2024-02-25 20:00:56,Talking
2024-02-25 20:00:59,Talking
2024-02-25 20:01:02,Talking
2024-02-25 20:01:05,Talking
2024-02-25 20:01:08,Talking
2024-02-25 20:01:11,Talking
2024-02-25 20:01:14,Closed
2024-02-25 20:01:17,Talking
2024-02-25 20:01:20,Talking
2024-02-25 20:01:23,Talking
2024-02-25 20:01:26,Talking
2024-02-25 20:01:29,Talking
2024-02-25 20:01:32,Talking
2024-02-25 20:01:35,Talking
2024-02-25 20:01:38,Talking
2024-02-25 20:01:41,Talking
2024-02-25 20:01:44,Talking
2024-02-25 20:01:47,Talking
2024-02-25 20:01:50,Talking
2024-02-25 20:01:53,Talking
2024-02-25 20:01:56,Talking
2024-02-25 20:01:59,Talking
2024-02-25 20:02:02,Talking
2024-02-25 20:02:05,Talking
2024-02-25 20:02:08,Talking
2024-02-25 20:02:11,Closed
2024-02-25 20:02:14,Talking
2024-02-25 20:02:17,Talking
2024-02-25 20:02:20,Talking
2024-02-25 20:02:23,Talking
2024-02-25 20:02:26,Talking
2024-02-25 20:02:29,Talking
2024-02-25 20:02:32,Talking
2024-02-25 20:02:35,Talking
2024-02-25 20:02:38,Talking
2024-02-25 20:02:41,Talking
2024-02-25 20:02:44,Talking
2024-02-25 20:02:47,Talking
2024-02-25 20:02:50,Talking
2024-02-25 20:02:53,Talking
2024-02-25 20:02:56,Talking
2024-02-25 20:02:59,Talking
2024-02-25 20:03:02,Talking
2024-02-25 20:03:05,Talking
2024-02-25 20:03:08,Talking
2024-02-25 20:03:11,Talking
2024-02-25 20:03:14,Talking
2024-02-25 20:03:17,Talking
2024-02-25 20:03:20,Talking
2024-02-25 20:03:23,Talking
2024-02-25 20:03:26,Talking
2024-02-25 20:03:29,Talking
2024-02-25 20:03:32,Talking
2024-02-25 20:03:35,Talking
2024-02-25 20:03:38,Talking
2024-02-25 20:03:41,Talking
2024-02-25 20:03:44,Talking
2024-02-25 20:03:47,Closed
2024-02-25 20:03:50,Talking
2024-02-25 20:03:53,Talking
2024-02-25 20:03:56,Talking
2024-02-25 20:03:59,Talking
2024-02-25 20:04:02,Talking
2024-02-25 20:04:05,Talking
2024-02-25 20:04:08,Talking
2024-02-25 20:04:11,Talking
2024-02-25 20:04:14,Talking
2024-02-25 20:04:17,Closed
2024-02-25 20:04:20,Talking
2024-02-25 20:04:23,Talking
2024-02-25 20:04:26,Talking
2024-02-25 20:04:29,Talking
2024-02-25 20:04:32,Talking
2024-02-25 20:04:35,Talking
2024-02-25 20:04:38,Talking
2024-02-25 20:04:41,Talking
2024-02-25 20:04:44,Talking
2024-02-25 20:04:47,Talking
2024-02-25 20:04:50,Talking
2024-02-25 20:04:53,Talking
2024-02-25 20:04:56,Talking
2024-02-25 20:04:59,Talking
2024-02-25 20:05:02,Talking
2024-02-25 20:05:05,Talking
2024-02-25 20:05:08,Closed
2024-02-25 20:05:11,Talking
2024-02-25 20:05:14,Talking
2024-02-25 20:05:17,Talking
2024-02-25 20:05:20,Closed
2024-02-25 20:05:23,Talking
2024-02-25 20:05:26,Talking
2024-02-25 20:05:29,Talking
2024-02-25 20:05:32,Talking
2024-02-25 20:05:35,Talking
2024-02-25 20:05:38,Talking
2024-02-25 20:05:41,Talking
2024-02-25 20:05:44,Talking
2024-02-25 20:05:47,Talking
2024-02-25 20:05:50,Talking
2024-02-25 20:05:53,Talking
2024-02-25 20:05:56,Talking
2024-02-25 20:05:59,Talking
2024-02-25 20:06:02,Talking
2024-02-25 20:06:05,Talking
2024-02-25 20:06:08,Talking
2024-02-25 20:06:11,Talking
2024-02-25 20:06:14,Talking
2024-02-25 20:06:17,Talking
2024-02-25 20:06:20,Talking
2024-02-25 20:06:23,Talking
2024-02-25 20:06:26,Talking
2024-02-25 20:06:29,Talking
2024-02-25 20:06:32,Talking
2024-02-25 20:06:35,Talking
2024-02-25 20:06:38,Talking
2024-02-25 20:06:41,Talking
2024-02-25 20:06:44,Talking
2024-02-25 20:06:47,Talking
2024-02-25 20:06:50,Talking
2024-02-25 20:06:53,Talking
2024-02-25 20:06:56,Talking
2024-02-25 20:06:59,Closed
2024-02-25 20:07:02,Closed
2024-02-25 20:07:05,Talking
2024-02-25 20:07:08,Closed
2024-02-25 20:07:11,Talking
2024-02-25 20:07:14,Talking
2024-02-25 20:07:17,Talking
2024-02-25 20:07:20,Talking
2024-02-25 20:07:23,Talking
2024-02-25 20:07:26,Talking
2024-02-25 20:07:29,Talking
2024-02-25 20:07:32,Talking
2024-02-25 20:07:35,Talking
2024-02-25 20:07:38,Talking
2024-02-25 20:07:41,Talking
2024-02-25 20:07:44,Talking
2024-02-25 20:07:47,Talking
2024-02-25 20:07:50,Talking
2024-02-25 20:07:53,Talking
2024-02-25 20:07:56,Talking
2024-02-25 20:07:59,Closed
2024-02-25 20:08:02,Talking
2024-02-25 20:08:05,Talking
2024-02-25 20:08:08,Talking
2024-02-25 20:08:11,Talking
2024-02-25 20:08:14,Talking
2024-02-25 20:08:17,Talking
2024-02-25 20:08:20,Talking
2024-02-25 20:08:23,Talking
2024-02-25 20:08:26,Talking
2024-02-25 20:08:29,Talking
2024-02-25 20:08:32,Talking
2024-02-25 20:08:35,Talking
2024-02-25 20:08:38,Talking
2024-02-25 20:08:41,Talking
2024-02-25 20:08:44,Talking
2024-02-25 20:08:47,Talking
2024-02-25 20:08:50,Talking
2024-02-25 20:08:53,Talking
2024-02-25 20:08:56,Talking
2024-02-25 20:08:59,Talking
2024-02-25 20:09:02,Talking
2024-02-25 20:09:05,Talking
2024-02-25 20:09:08,Talking
2024-02-25 20:09:11,Talking
2024-02-25 20:09:14,Talking
2024-02-25 20:09:17,Talking
